127.0.0.1 - - [08/Oct/2018:16:16:51 -0300] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-overcast HTTP/1.1" 200 18607
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_50_c9c9c9_1x100.png.xhtml?ln=primefaces-overcast HTTP/1.1" 200 96
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_70b2e1_256x240.png.xhtml?ln=primefaces-overcast HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-hard_75_999999_1x100.png.xhtml?ln=primefaces-overcast HTTP/1.1" 200 114
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_3383bb_256x240.png.xhtml?ln=primefaces-overcast HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_100_f8f8f8_1x400.png.xhtml?ln=primefaces-overcast HTTP/1.1" 200 105
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_60_eeeeee_1x400.png.xhtml?ln=primefaces-overcast HTTP/1.1" 200 110
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:30 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_glass_35_dddddd_1x400.png.xhtml?ln=primefaces-overcast HTTP/1.1" 200 109
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 18646
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_inset-soft_10_201913_1x100.png.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_9bcc60_256x240.png.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 4369
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_20_1c160d_500x100.png.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 2411
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_25_453326_500x100.png.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 2504
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-icons_add978_256x240.png.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 5355
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_gloss-wave_30_44372c_500x100.png.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 3406
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/images/ui-bg_highlight-soft_20_201913_1x100.png.xhtml?ln=primefaces-mint-choc HTTP/1.1" 200 163
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "POST /livraria/livro.xhtml HTTP/1.1" 200 464
0:0:0:0:0:0:0:1 - - [08/Oct/2018:16:18:31 -0300] "GET /livraria/javax.faces.resource/theme.css.xhtml?ln=primefaces-midnight HTTP/1.1" 200 18591
